INSDC_country	UN Country	Note	country_or_ocean
Afghanistan	Afghanistan		country
Albania	Albania		country
Algeria	Algeria		country
American Samoa		n/a- country is not recognised by UN, it is owned by another country or no country officially owns it	country
Andorra	Andorra		country
Angola	Angola		country
Anguilla	Anguilla		country
Antarctica			country
Antigua and Barbuda	Antigua and Barbuda		country
Arctic Ocean			ocean_or_sea
Argentina	Argentina		country
Armenia	Armenia		country
Aruba			country
Ashmore and Cartier Islands			country
Atlantic Ocean			ocean_or_sea
Australia	Australia		country
Austria	Austria		country
Azerbaijan	Azerbaijan		country
Bahamas	Bahamas		country
Bahrain	Bahrain		country
Baltic Sea			ocean_or_sea
Baker Island			country
Bangladesh	Bangladesh		country
Barbados	Barbados		country
Bassas da India			country
Belarus	Belarus		country
Belgium	Belgium		country
Belize	Belize		country
Benin	Benin		country
Bermuda	Bermuda		country
Bhutan	Bhutan		country
Bolivia	Bolivia (Plurinational State of)		country
Borneo			country
Bosnia and Herzegovina	Bosnia and Herzegovina		country
Botswana	Botswana		country
Bouvet Island			country
Brazil	Brazil		country
British Virgin Islands	British Virgin Islands		country
Brunei	Brunei Darussalam		country
Bulgaria	Bulgaria		country
Burkina Faso	Burkina Faso		country
Burundi	Burundi		country
Cambodia	Cambodia		country
Cameroon	Cameroon		country
Canada	Canada		country
Cape Verde	Cabo Verde		country
Cayman Islands	Cayman Islands		country
Central African Republic	Central African Republic		country
Chad	Chad		country
Chile	Chile		country
China	China (mainland)		country
Christmas Island			country
Clipperton Island			country
Cocos Islands			country
Colombia	Colombia		country
Comoros	Comoros		country
Cook Islands	Cook Islands		country
Coral Sea Islands			country
Costa Rica	Costa Rica		country
Cote d’Ivoire	Côte d'Ivoire		country
Croatia	Croatia		country
Cuba	Cuba		country
Curacao	Curaçao		country
Cyprus	Cyprus		country
Czechia	Czechia		country
Democratic Republic of the Congo	Democratic Republic of the Congo		country
Denmark	Denmark		country
Djibouti	Djibouti		country
Dominica	Dominica		country
Dominican Republic	Dominican Republic		country
Ecuador	Ecuador		country
Egypt	Egypt		country
El Salvador	El Salvador		country
Equatorial Guinea	Equatorial Guinea		country
Eritrea	Eritrea		country
Estonia	Estonia		country
Eswatini	Kingdom of Eswatini		country
Ethiopia	Ethiopia		country
Europa Island			country
Falkland Islands (Islas Malvinas)			country
Faroe Islands			country
Fiji	Fiji		country
Finland	Finland		country
France	France		country
French Guiana			country
French Polynesia	French Polynesia		country
French Southern and Antarctic Lands			country
Gabon	Gabon		country
Gambia	Gambia		country
Gaza Strip			country
Georgia	Georgia		country
Germany	Germany		country
Ghana	Ghana		country
Gibraltar			country
Glorioso Islands			country
Greece	Greece		country
Greenland	Greenland		country
Grenada	Grenada		country
Guadeloupe			country
Guam			country
Guatemala	Guatemala		country
Guernsey			country
Guinea	Guinea		country
Guinea-Bissau	Guinea-Bissau		country
Guyana	Guyana		country
Haiti	Haiti		country
Heard Island and McDonald Islands			country
Honduras	Honduras		country
Hong Kong	China, Hong Kong SAR		country
Howland Island			country
Hungary	Hungary		country
Iceland	Iceland		country
India	India		country
Indian Ocean			ocean_or_sea
Indonesia	Indonesia		country
Iran	Iran, Islamic Republic of		country
Iraq	Iraq		country
Ireland	Ireland		country
Isle of Man			country
Israel	Israel		country
Italy	Italy		country
Jamaica	Jamaica		country
Jan Mayen			country
Japan	Japan		country
Jarvis Island			country
Jersey			country
Johnston Atoll			country
Jordan	Jordan		country
Juan de Nova Island			country
Kazakhstan	Kazakhstan		country
Kenya	Kenya		country
Kerguelen Archipelago			country
Kingman Reef			country
Kiribati	Kiribati		country
Kosovo	Kosovo		country
Kuwait	Kuwait		country
Kyrgyzstan	Kyrgyzstan		country
Laos	Lao People's Democratic Republic		country
Latvia	Latvia		country
Lebanon	Lebanon		country
Lesotho	Lesotho		country
Liberia	Liberia		country
Libya	Libya		country
Liechtenstein	Liechtenstein		country
Line Islands			country
Lithuania	Lithuania		country
Luxembourg	Luxembourg		country
Macau	China, Macao Special Administrative Region		country
Madagascar	Madagascar		country
Malawi	Malawi		country
Malaysia	Malaysia		country
Maldives	Maldives		country
Mali	Mali		country
Malta	Malta		country
Marshall Islands	Marshall Islands		country
Martinique			country
Mauritania	Mauritania		country
Mauritius	Mauritius		country
Mayotte			country
Mediterranean Sea			ocean_or_sea
Mexico	Mexico		country
Micronesia, Federated States of	Micronesia (Federated States of)		country
Midway Islands			country
Moldova	Republic of Moldova		country
Monaco	Monaco		country
Mongolia	Mongolia		country
Montenegro	Montenegro		country
Montserrat	Montserrat		country
Morocco	Morocco		country
Mozambique	Mozambique		country
Myanmar	Myanmar		country
Namibia	Namibia		country
Nauru	Nauru		country
Navassa Island			country
Nepal	Nepal		country
Netherlands	Netherlands		country
New Caledonia	New Caledonia		country
New Zealand	New Zealand		country
Nicaragua	Nicaragua		country
Niger	Niger		country
Nigeria	Nigeria		country
Niue			country
Norfolk Island			country
North Korea	Democratic People's Republic of Korea		country
North Macedonia	Republic of North Macedonia		country
North Sea			ocean_or_sea
Northern Mariana Islands			country
Norway	Norway		country
Oman	Oman		country
Pacific Ocean			ocean_or_sea
Pakistan	Pakistan		country
Palau	Palau		country
Palmyra Atoll			country
Panama	Panama		country
Papua New Guinea	Papua New Guinea		country
Paracel Islands			country
Paraguay	Paraguay		country
Peru	Peru		country
Philippines	Philippines		country
Pitcairn Islands			country
Poland	Poland		country
Portugal	Portugal		country
Puerto Rico	Puerto Rico		country
Qatar	Qatar		country
Republic of the Congo	Congo		country
Reunion			country
Romania	Romania		country
Ross Sea			ocean_or_sea
Russia	Russian Federation		country
Rwanda	Rwanda		country
Saint Barthelemy			country
Saint Helena			country
Saint Kitts and Nevis	Saint Kitts and Nevis		country
Saint Lucia	Saint Lucia		country
Saint Martin			country
Saint Pierre and Miquelon			country
Saint Vincent and the Grenadines	Saint Vincent and the Grenadines		country
Samoa	Samoa		country
San Marino	San Marino		country
Sao Tome and Principe	Sao Tome and Principe		country
Saudi Arabia	Saudi Arabia		country
Senegal	Senegal		country
Serbia	Serbia		country
Seychelles	Seychelles		country
Sierra Leone	Sierra Leone		country
Singapore	Singapore		country
Sint Maarten			country
Slovakia	Slovakia		country
Slovenia	Slovenia		country
Solomon Islands	Solomon Islands		country
Somalia	Somalia		country
South Africa	South Africa		country
South Georgia and the South Sandwich Islands			country
South Korea	Republic of Korea		country
South Sudan	South Sudan		country
Southern Ocean			ocean_or_sea
Spain	Spain		country
Spratly Islands			country
Sri Lanka	Sri Lanka		country
State of Palestine	State of Palestine		country
Sudan	Sudan		country
Suriname	Suriname		country
Svalbard			country
Sweden	Sweden		country
Switzerland	Switzerland		country
Syria	Syrian Arab Republic		country
Taiwan			country
Tajikistan	Tajikistan		country
Tanzania	United Republic of Tanzania		country
Tasman Sea			ocean_or_sea
Thailand	Thailand		country
Timor-Leste	Timor-Leste		country
Togo	Togo		country
Tokelau			country
Tonga	Tonga		country
Trinidad and Tobago	Trinidad and Tobago		country
Tromelin Island			country
Tunisia	Tunisia		country
Turkey	Türkiye		country
Turkmenistan	Turkmenistan		country
Turks and Caicos Islands	Turks and Caicos Islands		country
Tuvalu	Tuvalu		country
USA	United States		country
Uganda	Uganda		country
Ukraine	Ukraine		country
United Arab Emirates	United Arab Emirates		country
United Kingdom	United Kingdom of Great Britain and Northern Ireland		country
Uruguay	Uruguay		country
Uzbekistan	Uzbekistan		country
Vanuatu	Vanuatu		country
Venezuela	Venezuela, Bolvarian Republic of		country
Viet Nam	Viet Nam		country
Virgin Islands			country
Wake Island			country
Wallis and Futuna			country
West Bank			country
Western Sahara			country
Yemen	Yemen		country
Zambia	Zambia		country
Zimbabwe	Zimbabwe		country
